행정구역,2023년10월_계_총인구수,2023년10월_계_연령구간인구수,2023년10월_계_0~9세,2023년10월_계_10~19세,2023년10월_계_20~29세,2023년10월_계_30~39세,2023년10월_계_40~49세,2023년10월_계_50~59세,2023년10월_계_60~69세,2023년10월_계_70~79세,2023년10월_계_80~89세,2023년10월_계_90~99세,2023년10월_계_100세 이상
서울특별시 성동구 행당제1동(1120056000),13702,13702,859,981,2173,2228,2046,2182,1744,927,492,61,9
서울특별시 성동구 행당제2동(1120057000),22910,22910,1586,1866,2611,3419,3614,3963,3073,1785,887,102,4
서울특별시 성동구 응봉동(1120058000),14990,14990,980,1507,1670,2041,2634,2491,1874,1105,621,66,1
서울특별시 성동구 금호1가동(1120059000),14821,14821,1101,1047,1538,2320,2486,2327,2185,1165,580,71,1
서울특별시 성동구 금호2.3가동(1120061500),21960,21960,1553,1288,2488,3788,3553,3507,3108,1680,874,113,8
서울특별시 성동구 금호4가동(1120062000),14170,14170,1193,933,1325,2333,2613,2125,1955,1093,533,64,3
서울특별시 성동구 옥수동(1120064500),25390,25390,2308,1604,2466,4520,4425,3817,3421,1772,925,128,4
서울특별시 성동구 성수1가제1동(1120065000),15470,15470,832,918,2216,2840,2042,2775,2423,935,435,51,3
서울특별시 성동구 성수1가제2동(1120066000),12005,12005,599,752,1777,2309,1761,1844,1653,852,410,48,0
서울특별시 성동구 성수2가제1동(1120067000),14617,14617,581,725,1894,2411,1888,2555,2724,1220,555,63,1
서울특별시 성동구 성수2가제3동(1120069000),10099,10099,459,491,1671,1833,1332,1579,1491,803,399,39,2
서울특별시 성동구 송정동(1120072000),9772,9772,392,488,1444,1552,1332,1693,1719,779,334,38,1
서울특별시 성동구 용답동(1120079000),12004,12004,281,543,2698,1986,1422,1898,1632,960,528,54,2
서울특별시 광진구 (1121500000),336294,336294,15442,23971,59249,55004,48412,52935,45593,23427,10842,1378,41
서울특별시 광진구 화양동(1121571000),23369,23369,286,695,10347,4777,2052,1958,1671,1029,490,62,2
서울특별시 광진구 군자동(1121573000),19153,19153,651,956,4273,3501,2490,2634,2550,1370,661,65,2
서울특별시 광진구 중곡제1동(1121574000),15266,15266,574,668,2823,3038,1953,2323,2182,1133,504,66,2
서울특별시 광진구 중곡제2동(1121575000),20606,20606,859,1245,3330,3684,2865,3322,3042,1575,611,70,3
서울특별시 광진구 중곡제3동(1121576000),15764,15764,597,836,2342,2750,2071,2679,2509,1343,584,53,0
서울특별시 광진구 중곡제4동(1121577000),27599,27599,1037,1663,3964,4052,3578,5063,4687,2419,1022,110,4
서울특별시 광진구 능동(1121578000),11115,11115,445,499,2250,2464,1606,1433,1302,730,350,35,1
서울특별시 광진구 광장동(1121581000),34065,34065,2457,5404,3850,3346,6883,6021,3465,1561,904,170,4
서울특별시 광진구 자양제1동(1121582000),21898,21898,740,1400,3918,3800,3151,3380,3065,1598,761,84,1
서울특별시 광진구 자양제2동(1121583000),23670,23670,1240,1688,3223,3675,3595,3903,3701,1803,740,99,3
서울특별시 광진구 자양제3동(1121584000),27260,27260,1956,2417,3453,3886,4249,4562,3819,1777,965,172,4
서울특별시 광진구 자양제4동(1121584700),19838,19838,794,911,3250,3354,2567,3133,3216,1753,774,84,2
서울특별시 광진구 구의제1동(1121585000),23186,23186,864,1183,4798,4566,3256,3434,2854,1438,703,87,3
서울특별시 광진구 구의제2동(1121586000),25688,25688,1354,2129,3321,3617,4030,4438,3761,2041,893,98,6
서울특별시 광진구 구의제3동(1121587000),27817,27817,1588,2277,4107,4494,4066,4652,3769,1857,880,123,4
서울특별시 동대문구 (1123000000),341521,341521,18395,22867,57102,49380,48835,52313,48674,28259,13998,1640,58
서울특별시 동대문구 용신동(1123053600),38430,38430,1998,1921,7044,7029,5527,5557,5032,2705,1451,159,7
서울특별시 동대문구 제기동(1123054500),23213,23213,813,1188,4421,2988,2644,3490,3742,2452,1317,150,8
서울특별시 동대문구 전농제1동(1123056000),31784,31784,1946,2039,4814,4412,4685,5212,4686,2539,1290,155,6
서울특별시 동대문구 전농제2동(1123057000),18026,18026,997,1572,2023,2100,2692,3148,2893,1622,894,83,2
서울특별시 동대문구 답십리제1동(1123060000),27894,27894,2315,1909,3844,4839,4646,4060,3505,1799,866,103,8
