행정구역,2023년10월_계_총인구수,2023년10월_계_연령구간인구수,2023년10월_계_0~9세,2023년10월_계_10~19세,2023년10월_계_20~29세,2023년10월_계_30~39세,2023년10월_계_40~49세,2023년10월_계_50~59세,2023년10월_계_60~69세,2023년10월_계_70~79세,2023년10월_계_80~89세,2023년10월_계_90~99세,2023년10월_계_100세 이상
서울특별시 송파구 방이1동(1171056100),15159,15159,873,1480,2097,2132,2381,2596,2124,1013,389,69,5
서울특별시 송파구 방이2동(1171056200),26179,26179,924,1107,5141,6447,3643,3383,3197,1655,603,77,2
서울특별시 송파구 오륜동(1171056600),17847,17847,1088,2532,1936,1613,3046,3039,2657,1447,393,94,2
서울특별시 송파구 오금동(1171057000),37528,37528,2317,2948,4705,5146,5353,6550,6116,2989,1152,242,10
서울특별시 송파구 송파1동(1171058000),23454,23454,964,1156,4063,5374,3366,3166,3058,1606,620,80,1
서울특별시 송파구 송파2동(1171059000),18542,18542,1250,1738,2346,2698,2917,2922,2793,1364,433,80,1
서울특별시 송파구 석촌동(1171060000),30906,30906,1247,1628,5076,6775,4659,4390,4109,2107,809,104,2
서울특별시 송파구 삼전동(1171061000),29127,29127,1088,1771,4785,6320,4667,4127,3701,1876,691,96,5
서울특별시 송파구 가락본동(1171062000),25264,25264,1374,1603,3561,4476,3546,4213,3991,1724,672,102,2
서울특별시 송파구 가락1동(1171063100),27499,27499,3013,2697,2610,4759,4931,3610,3612,1773,437,56,1
서울특별시 송파구 가락2동(1171063200),31239,31239,2036,3239,4051,4575,5109,5092,4376,1906,726,123,6
서울특별시 송파구 문정1동(1171064100),19567,19567,1049,1398,2835,3314,2749,3102,3176,1411,456,74,3
서울특별시 송파구 문정2동(1171064200),28777,28777,1438,1456,4649,7365,4449,3450,3197,1862,764,143,4
서울특별시 송파구 장지동(1171064600),28557,28557,1977,2379,3544,4410,4414,4641,4222,2044,770,150,6
서울특별시 송파구 위례동(1171064700),44841,44841,6466,6164,4240,6842,9323,5829,3773,1540,540,119,5
서울특별시 송파구 잠실본동(1171065000),27772,27772,968,1513,4946,6210,4212,3957,3538,1732,618,73,5
서울특별시 송파구 잠실2동(1171067000),34894,34894,3272,5849,3336,3232,8085,5612,2938,1851,642,75,2
서울특별시 송파구 잠실3동(1171068000),33882,33882,2583,4035,3518,3584,6075,5435,4710,2949,847,144,2
서울특별시 송파구 잠실4동(1171069000),21232,21232,2287,2651,1859,2445,4423,3119,2521,1384,471,70,2
서울특별시 송파구 잠실6동(1171071000),16466,16466,1240,1722,1759,1951,2797,2579,2496,1292,525,102,3
서울특별시 송파구 잠실7동(1171072000),9438,9438,534,904,1112,942,1250,1637,1492,1024,449,87,7
서울특별시 강동구 (1174000000),458292,458292,31017,38796,56391,68591,74381,70299,68484,35308,13046,1900,79
서울특별시 강동구 강일동(1174051500),32605,32605,2807,3542,3343,4135,5380,4749,4917,2529,1003,192,8
서울특별시 강동구 상일제1동(1174052500),39286,39286,4567,4745,3458,5141,8011,5460,5066,2149,593,92,4
서울특별시 강동구 상일제2동(1174052600),11790,11790,1023,1351,1550,1667,1779,1763,1349,860,375,70,3
서울특별시 강동구 명일제1동(1174053000),25310,25310,2050,2336,2728,3778,4158,3893,3762,1886,619,96,4
서울특별시 강동구 명일제2동(1174054000),17184,17184,945,2394,2148,1842,2975,2683,2509,1258,348,78,4
서울특별시 강동구 고덕제1동(1174055000),23979,23979,2217,3876,1972,2469,5307,3398,2881,1292,458,105,4
서울특별시 강동구 고덕제2동(1174056000),22801,22801,2405,2358,2070,3445,4411,3203,3002,1393,452,61,1
서울특별시 강동구 암사제1동(1174057000),33804,33804,1728,2350,4322,4892,5162,5787,5369,2872,1170,150,2
서울특별시 강동구 암사제2동(1174058000),14878,14878,1164,991,1753,2649,2329,2247,2049,1185,445,65,1
서울특별시 강동구 암사제3동(1174059000),17283,17283,1550,1925,1785,2068,3163,2613,2394,1266,447,65,7
서울특별시 강동구 천호제1동(1174060000),26075,26075,1169,1528,3293,3878,3707,4332,4611,2472,960,121,4
서울특별시 강동구 천호제2동(1174061000),32929,32929,1491,1651,4624,6076,4764,5071,5207,2806,1110,124,5
서울특별시 강동구 천호제3동(1174062000),26143,26143,1143,1079,4291,5032,3515,3876,4104,2101,879,114,9
서울특별시 강동구 성내제1동(1174064000),19466,19466,1352,1595,2486,2999,3249,2943,2724,1495,551,69,3
서울특별시 강동구 성내제2동(1174065000),23314,23314,858,1047,3842,4323,3088,3434,3721,2067,835,97,2
서울특별시 강동구 성내제3동(1174066000),22467,22467,998,1510,3278,3321,3363,3814,3496,1898,713,70,6
서울특별시 강동구 길동(1174068500),44662,44662,2044,2639,6322,7168,6514,7114,7399,3867,1376,210,9
서울특별시 강동구 둔촌제1동(1174069000),52,52,1,4,6,9,10,9,9,3,1,0,0
서울특별시 강동구 둔촌제2동(1174070000),24264,24264,1505,1875,3120,3699,3496,3910,3915,1909,711,121,3
부산광역시  (2600000000),3298213,3298213,196404,263874,380538,392167,486946,539408,562364,317979,141091,17005,437
부산광역시 중구 (2611000000),38831,38831,901,1694,5459,4287,4453,6354,7821,5096,2423,325,18
부산광역시 중구 중앙동(2611051000),3071,3071,46,55,873,749,331,344,357,212,85,19,0
부산광역시 중구 동광동(2611052000),2493,2493,57,94,225,224,268,412,573,408,208,21,3
부산광역시 중구 대청동(2611053000),5850,5850,130,273,844,585,697,956,1200,739,361,62,3
부산광역시 중구 보수동(2611054500),10304,10304,281,494,1554,1056,1184,1689,2054,1274,632,79,7
부산광역시 중구 부평동(2611056000),4233,4233,70,167,462,407,470,702,977,657,283,37,1
부산광역시 중구 광복동(2611057000),920,920,29,36,75,70,109,162,229,134,64,11,1
부산광역시 중구 남포동(2611058000),817,817,8,26,38,59,76,161,249,143,52,5,0
부산광역시 중구 영주제1동(2611059000),4486,4486,119,183,758,606,558,719,744,524,238,36,1
부산광역시 중구 영주제2동(2611060000),6657,6657,161,366,630,531,760,1209,1438,1005,500,55,2
부산광역시 서구 (2614000000),104268,104268,4941,7071,12180,10406,13636,16782,19477,12590,6355,815,15
부산광역시 서구 동대신제1동(2614051000),5354,5354,327,342,576,618,716,862,936,604,327,45,1
부산광역시 서구 동대신제2동(2614052000),6771,6771,203,421,632,506,810,1185,1391,998,552,73,0
부산광역시 서구 동대신제3동(2614053000),7393,7393,345,498,1143,765,949,1088,1266,831,441,63,4
부산광역시 서구 서대신제1동(2614054000),15012,15012,1193,1270,1683,1921,2417,2237,2081,1398,712,100,0
부산광역시 서구 서대신제3동(2614056000),7540,7540,436,764,795,747,1118,1275,1248,724,372,60,1
부산광역시 서구 서대신제4동(2614057000),7257,7257,469,756,739,700,1100,1201,1213,689,344,44,2
부산광역시 서구 부민동(2614059000),7386,7386,325,557,1523,834,916,1043,1154,653,340,39,2
부산광역시 서구 아미동(2614061500),6170,6170,85,217,709,497,605,977,1401,1032,567,78,2
부산광역시 서구 초장동(2614063000),3936,3936,87,141,324,272,447,659,921,644,400,41,0
부산광역시 서구 충무동(2614064000),9621,9621,381,463,1299,1037,1178,1577,1884,1190,557,54,1
부산광역시 서구 남부민제1동(2614065000),4556,4556,101,148,365,375,464,790,1086,777,401,48,1
부산광역시 서구 남부민제2동(2614066000),8189,8189,177,396,655,591,919,1382,1915,1429,651,73,1
부산광역시 서구 암남동(2614068000),15083,15083,812,1098,1737,1543,1997,2506,2981,1621,691,97,0
부산광역시 동구 (2617000000),88008,88008,4003,4713,9416,11031,11492,14120,16136,10882,5543,658,14
부산광역시 동구 초량제1동(2617051000),4855,4855,129,256,653,554,637,821,880,609,289,27,0
부산광역시 동구 초량제2동(2617052000),5314,5314,121,232,515,491,622,906,1126,852,391,57,1
부산광역시 동구 초량제3동(2617053000),12518,12518,1158,828,1716,2354,2087,1761,1487,737,338,48,4
부산광역시 동구 초량제6동(2617055000),5450,5450,112,326,455,424,628,914,1126,887,508,69,1
부산광역시 동구 수정제1동(2617056000),3952,3952,150,282,432,359,536,639,699,560,258,37,0
부산광역시 동구 수정제2동(2617057000),9219,9219,325,501,895,1069,1099,1501,1842,1313,615,59,0
부산광역시 동구 수정제4동(2617059000),3561,3561,64,144,278,251,343,613,756,647,423,42,0
부산광역시 동구 수정제5동(2617060000),4863,4863,93,273,412,322,544,840,1040,845,435,58,1
부산광역시 동구 좌천동(2617064500),11384,11384,459,585,1218,1286,1446,1870,2170,1482,787,78,3
부산광역시 동구 범일제1동(2617065000),11031,11031,274,499,1034,1092,1244,1821,2481,1590,894,101,1
부산광역시 동구 범일제2동(2617066000),7575,7575,298,333,954,1071,970,1331,1469,769,338,42,0
부산광역시 동구 범일제5동(2617068000),8286,8286,820,454,854,1758,1336,1103,1060,591,267,40,3
부산광역시 영도구 (2620000000),106816,106816,4397,6718,9878,9678,13695,17694,22131,14756,7077,772,20
부산광역시 영도구 남항동(2620053000),10358,10358,322,457,923,933,1257,1764,2252,1552,800,97,1
부산광역시 영도구 영선제1동(2620054000),3720,3720,150,211,321,302,438,605,847,557,255,33,1
부산광역시 영도구 영선제2동(2620055000),7589,7589,280,455,678,665,873,1253,1580,1169,571,64,1
부산광역시 영도구 신선동(2620058500),7446,7446,136,348,542,482,809,1300,1681,1332,738,78,0
부산광역시 영도구 봉래제1동(2620059000),6324,6324,248,364,530,572,816,961,1432,913,429,57,2
부산광역시 영도구 봉래제2동(2620060500),7384,7384,440,494,605,729,1065,1228,1307,951,526,38,1
부산광역시 영도구 청학제1동(2620063000),5569,5569,240,361,431,466,788,868,1159,812,401,43,0
부산광역시 영도구 청학제2동(2620064000),16861,16861,756,1247,1534,1555,2295,2875,3377,2156,959,105,2
부산광역시 영도구 동삼제1동(2620065000),27657,27657,1272,2031,2966,2718,3635,4694,5474,3236,1459,166,6
부산광역시 영도구 동삼제2동(2620066000),4938,4938,348,348,698,579,752,705,756,534,199,18,1
부산광역시 영도구 동삼제3동(2620067000),8970,8970,205,402,650,677,967,1441,2266,1544,740,73,5
부산광역시 부산진구 (2623000000),359329,359329,19608,24018,49700,49962,49837,55952,59197,33553,15695,1773,34
부산광역시 부산진구 부전제1동(2623051000),15783,15783,546,500,3754,2662,1691,2224,2420,1311,603,71,1
부산광역시 부산진구 부전제2동(2623052000),11496,11496,661,505,2752,2209,1560,1547,1365,608,253,34,2
부산광역시 부산진구 연지동(2623054000),25765,25765,2163,2248,2271,3298,4086,3984,4099,2393,1098,123,2
부산광역시 부산진구 초읍동(2623055000),20755,20755,1028,1458,1822,2018,2826,3405,3969,2777,1307,143,2
부산광역시 부산진구 양정제1동(2623056000),19142,19142,918,1277,2567,2375,2563,3359,3210,1830,920,120,3
부산광역시 부산진구 양정제2동(2623057000),13828,13828,797,632,2918,2770,1910,1680,1600,983,493,44,1
부산광역시 부산진구 전포제1동(2623060000),20917,20917,1265,1188,4414,4185,2974,2556,2256,1310,682,85,2
부산광역시 부산진구 전포제2동(2623061000),23372,23372,1146,1306,3434,3834,3191,3263,3616,2305,1153,122,2
부산광역시 부산진구 부암제1동(2623064000),23552,23552,1725,1864,2640,3372,3723,3743,3534,1974,862,112,3
부산광역시 부산진구 부암제3동(2623066000),16528,16528,791,1718,1673,1373,2475,3049,3078,1580,721,69,1
부산광역시 부산진구 당감제1동(2623067000),21583,21583,827,1667,2298,2081,2843,3994,4289,2316,1118,147,3
부산광역시 부산진구 당감제2동(2623068000),10688,10688,734,725,1209,1638,1586,1513,1777,1023,450,33,0
부산광역시 부산진구 당감제4동(2623070000),10731,10731,537,812,1012,1115,1483,2038,2031,1119,532,51,1
부산광역시 부산진구 가야제1동(2623071000),17245,17245,573,1051,2569,1843,2264,2771,3321,1928,849,76,0
부산광역시 부산진구 가야제2동(2623072000),18299,18299,1119,1436,2013,2202,2537,2882,3217,1984,814,91,4
부산광역시 부산진구 개금제1동(2623074000),18259,18259,1204,1132,3263,2884,2678,2689,2400,1327,622,59,1
부산광역시 부산진구 개금제2동(2623075000),10229,10229,429,737,1328,975,1279,1741,1950,1178,562,49,1
부산광역시 부산진구 개금제3동(2623076000),27147,27147,1388,2206,2866,2925,3673,4814,5453,2524,1130,165,3
부산광역시 부산진구 범천제1동(2623077000),12324,12324,470,469,2500,2544,1551,1646,1668,913,502,60,1
부산광역시 부산진구 범천제2동(2623078000),21686,21686,1287,1087,2397,3659,2944,3054,3944,2170,1024,119,1
부산광역시 동래구 (2626000000),271670,271670,18472,25519,28730,31731,43529,43829,43264,24904,10418,1247,27
부산광역시 동래구 수민동(2626051000),31045,31045,2125,2675,3150,3814,4734,4993,5128,2997,1270,157,2
부산광역시 동래구 복산동(2626052000),8630,8630,244,511,755,739,994,1461,1921,1265,651,88,1
부산광역시 동래구 명륜동(2626054500),26447,26447,2401,3609,2447,2898,5298,4280,3018,1644,767,84,1
부산광역시 동래구 온천제1동(2626055000),24298,24298,1475,1429,3611,4218,3814,3677,3177,1842,949,102,4
부산광역시 동래구 온천제2동(2626056000),24437,24437,2664,2414,2099,3243,4200,3446,3309,1976,936,147,3
부산광역시 동래구 온천제3동(2626057000),36984,36984,2145,2623,4778,4762,5222,6193,6205,3523,1386,144,3
부산광역시 동래구 사직제1동(2626058000),10199,10199,630,1009,1072,1144,1667,1613,1517,1004,491,52,0
부산광역시 동래구 사직제2동(2626059000),25255,25255,1988,3900,2554,2134,4929,4442,3143,1560,530,72,3
부산광역시 동래구 사직제3동(2626060000),17043,17043,1205,1997,1601,1632,3182,2556,2537,1594,672,65,2
부산광역시 동래구 안락제1동(2626074000),13785,13785,642,892,1363,1442,1833,2244,2868,1714,706,80,1
부산광역시 동래구 안락제2동(2626075000),25978,25978,1444,2537,2642,2696,3906,4458,4684,2561,933,115,2
부산광역시 동래구 명장제1동(2626076100),13604,13604,825,1033,1237,1464,1972,2178,2661,1586,572,71,5
부산광역시 동래구 명장제2동(2626076200),13965,13965,684,890,1421,1545,1778,2288,3096,1638,555,70,0
부산광역시 남구 (2629000000),254455,254455,14211,22101,32402,26560,37987,41258,41212,25760,11665,1268,31
부산광역시 남구 대연제1동(2629051000),15466,15466,340,873,3733,1704,1745,2222,2268,1660,839,82,0
부산광역시 남구 대연제3동(2629053000),33092,33092,2247,3376,7098,3790,5328,4707,3614,1935,866,129,2
부산광역시 남구 대연제4동(2629054000),12582,12582,981,938,1036,1613,1944,1790,2119,1434,651,73,3
부산광역시 남구 대연제5동(2629055000),16675,16675,807,1337,2825,1820,2409,2541,2422,1642,786,85,1
부산광역시 남구 대연제6동(2629056000),14804,14804,1415,1704,1442,1723,2730,2253,1873,1111,491,60,2
부산광역시 남구 용호제1동(2629057000),42931,42931,2699,4827,4313,3571,6961,7860,6857,3818,1798,221,6
부산광역시 남구 용호제2동(2629058000),19514,19514,1424,1975,1756,2185,3247,3004,3196,1931,697,98,1
부산광역시 남구 용호제3동(2629059000),11381,11381,340,750,1113,960,1383,1946,2412,1722,688,64,3
부산광역시 남구 용호제4동(2629060000),7787,7787,336,571,757,797,1163,1254,1513,962,391,41,2
부산광역시 남구 용당동(2629061000),7890,7890,393,682,913,705,1112,1473,1429,813,332,38,0
부산광역시 남구 감만제1동(2629062000),9070,9070,377,716,853,909,1291,1555,1806,1074,453,36,0
부산광역시 남구 감만제2동(2629063000),6552,6552,193,404,566,501,829,1127,1362,1011,508,51,0
부산광역시 남구 우암동(2629064500),12346,12346,438,824,1065,1055,1596,1975,2689,1835,773,94,2
부산광역시 남구 문현제1동(2629068000),11088,11088,481,939,1196,924,1545,2095,2033,1272,559,43,1
부산광역시 남구 문현제2동(2629069000),7905,7905,274,337,1082,1230,1045,1145,1325,884,531,47,5
부산광역시 남구 문현제3동(2629070000),16440,16440,1114,1353,1695,2049,2547,2745,2556,1576,736,67,2
부산광역시 남구 문현제4동(2629071000),8932,8932,352,495,959,1024,1112,1566,1738,1080,566,39,1
부산광역시 북구 (2632000000),274481,274481,16227,21403,30548,32607,37297,49039,51543,24259,10280,1237,41
부산광역시 북구 구포제1동(2632051000),15631,15631,852,735,1805,2184,1912,2648,3249,1551,630,60,5
부산광역시 북구 구포제2동(2632052000),23875,23875,1027,1580,2731,2831,3053,4486,4942,2226,911,83,5
부산광역시 북구 구포제3동(2632052100),18485,18485,581,1280,2266,1723,2297,3851,3988,1759,661,77,2
부산광역시 북구 금곡동(2632053000),35959,35959,1592,2612,3525,3460,4338,6680,7390,3890,2193,275,4
부산광역시 북구 화명제1동(2632054100),40255,40255,3458,4165,4726,5018,6024,7536,6398,2106,729,91,4
부산광역시 북구 화명제2동(2632054200),17338,17338,1219,1362,2092,2224,2213,3253,2992,1320,580,82,1
부산광역시 북구 화명제3동(2632054300),28624,28624,2022,3517,3473,2961,4667,5446,3648,1905,869,111,5
부산광역시 북구 덕천제1동(2632055000),11888,11888,485,494,1356,1604,1387,1884,2499,1430,660,84,5
부산광역시 북구 덕천제2동(2632056000),11314,11314,314,510,1445,1432,1308,1952,2485,1234,553,78,3
부산광역시 북구 덕천제3동(2632056100),10158,10158,321,582,1157,973,1280,1726,2140,1321,585,70,3
부산광역시 북구 만덕제1동(2632057100),16449,16449,1424,1006,1484,2862,2412,2360,2952,1425,489,35,0
부산광역시 북구 만덕제2동(2632057200),26686,26686,2019,2305,2654,3355,4026,4263,4845,2326,782,111,0
부산광역시 북구 만덕제3동(2632057300),17819,17819,913,1255,1834,1980,2380,2954,4015,1766,638,80,4
부산광역시 해운대구 (2635000000),381466,381466,23407,35582,40857,41865,59844,67247,61969,33319,15301,2017,58
부산광역시 해운대구 우제1동(2635051000),22173,22173,1170,1606,2558,2829,3251,3783,3693,2224,935,121,3
부산광역시 해운대구 우제2동(2635052000),30079,30079,2439,3113,2988,3416,4992,5379,4285,2266,1055,141,5
부산광역시 해운대구 우제3동(2635052500),27995,27995,2567,3193,2374,2847,4992,4625,4226,2103,917,145,6
부산광역시 해운대구 중제1동(2635053000),27227,27227,2025,2511,3078,3344,4611,4841,3749,2002,953,107,6
부산광역시 해운대구 중제2동(2635054000),15176,15176,1097,1163,1383,1907,2595,2635,2627,1227,466,75,1
부산광역시 해운대구 좌제1동(2635055100),17421,17421,936,1924,2428,1965,2786,3258,2230,1075,718,98,3
부산광역시 해운대구 좌제2동(2635055200),30808,30808,1671,2575,4320,4335,4502,5500,4495,2064,1165,177,4
부산광역시 해운대구 좌제3동(2635055300),15367,15367,886,1574,1612,1552,2157,2863,2491,1285,809,134,4
부산광역시 해운대구 좌제4동(2635055400),22305,22305,1456,2726,2531,2349,3543,4240,3093,1428,824,108,7
부산광역시 해운대구 송정동(2635056000),9407,9407,368,492,886,1086,1227,1558,2005,1148,566,70,1
부산광역시 해운대구 반여제1동(2635057000),34519,34519,2289,3864,3870,3586,5620,6367,5158,2573,1050,140,2
부산광역시 해운대구 반여제2동(2635058000),11809,11809,379,498,1077,1284,1515,2095,2556,1595,723,86,1
부산광역시 해운대구 반여제3동(2635059000),7938,7938,159,349,777,663,918,1459,1880,1116,559,58,0
부산광역시 해운대구 반여제4동(2635059500),14958,14958,986,1439,1629,1652,2323,2716,2605,1195,366,47,0
부산광역시 해운대구 반송제1동(2635061000),12774,12774,268,558,1260,992,1404,2331,2802,2023,1026,110,0
부산광역시 해운대구 반송제2동(2635062000),21670,21670,648,1199,1794,1647,2572,3707,5008,3373,1531,183,8
부산광역시 해운대구 재송제1동(2635065000),36908,36908,3203,5013,3739,3929,7487,5767,4507,2345,812,103,3
부산광역시 해운대구 재송제2동(2635066000),22932,22932,860,1785,2553,2482,3349,4123,4559,2277,826,114,4
부산광역시 사하구 (2638000000),298815,298815,15873,23716,34249,32962,42856,51203,55062,29402,12020,1434,38
부산광역시 사하구 괴정제1동(2638051000),18271,18271,773,1383,1915,1817,2428,3024,3562,2189,1039,134,7
부산광역시 사하구 괴정제2동(2638052000),15224,15224,905,1192,1546,1683,2229,2463,2726,1741,673,65,1
부산광역시 사하구 괴정제3동(2638053000),11676,11676,373,665,1162,1237,1397,1950,2552,1555,709,76,0
부산광역시 사하구 괴정제4동(2638054000),15171,15171,1146,1354,1497,1860,2424,2364,2495,1418,553,57,3
부산광역시 사하구 당리동(2638055000),24478,24478,1152,2035,2635,2497,3466,4184,4811,2529,1037,131,1
부산광역시 사하구 하단제1동(2638056100),21456,21456,964,1534,3378,2846,2897,3431,3673,1870,761,99,3
부산광역시 사하구 하단제2동(2638056200),25143,25143,1134,1863,5277,3045,3247,3880,3842,1991,780,79,5
부산광역시 사하구 신평제1동(2638057100),15839,15839,873,985,1421,1696,2275,2866,3209,1731,715,67,1
부산광역시 사하구 신평제2동(2638057200),17319,17319,1142,1368,1928,2453,2552,2999,3074,1310,429,63,1
부산광역시 사하구 장림제1동(2638058000),10193,10193,685,922,885,1127,1850,1712,1660,979,341,32,0
부산광역시 사하구 장림제2동(2638059000),26155,26155,1427,2310,2870,3025,4087,4643,4667,2272,776,74,4
부산광역시 사하구 다대제1동(2638060100),36853,36853,2128,3604,3772,3529,5629,6813,6535,3239,1417,184,3
부산광역시 사하구 다대제2동(2638060200),25855,25855,1238,2103,2703,2192,3514,4896,5285,2631,1119,172,2
부산광역시 사하구 구평동(2638061000),12459,12459,1225,978,1185,2107,2066,1915,1871,831,238,42,1
부산광역시 사하구 감천제1동(2638062000),17303,17303,601,1229,1677,1511,2208,3077,3888,2152,866,93,1
부산광역시 사하구 감천제2동(2638063000),5420,5420,107,191,398,337,587,986,1212,964,567,66,5
부산광역시 금정구 (2641000000),216770,216770,10075,16150,28669,22110,28530,36198,39787,23307,10593,1316,35
부산광역시 금정구 서제1동(2641051000),4703,4703,49,170,367,351,549,826,1235,742,377,37,0
부산광역시 금정구 서제2동(2641052000),8556,8556,230,406,820,807,953,1564,2160,1124,447,44,1
부산광역시 금정구 서제3동(2641053000),10480,10480,262,419,951,989,1165,1879,2557,1530,666,61,1
부산광역시 금정구 금사회동동(2641055500),7355,7355,189,287,590,670,842,1286,1858,1156,434,42,1
부산광역시 금정구 부곡제1동(2641057000),7708,7708,230,390,646,675,946,1216,1718,1256,561,70,0
부산광역시 금정구 부곡제2동(2641058000),17229,17229,798,1430,2388,1767,2464,2989,2880,1600,814,96,3
부산광역시 금정구 부곡제3동(2641059000),15139,15139,870,1297,1880,1778,2113,2540,2551,1395,610,102,3
부산광역시 금정구 부곡제4동(2641059100),12028,12028,398,674,1232,1225,1500,2087,2556,1655,641,57,3
부산광역시 금정구 장전제1동(2641060000),17991,17991,646,1247,6149,1858,2015,2094,2037,1269,598,75,3
부산광역시 금정구 장전제2동(2641061000),25790,25790,2220,2566,2888,3125,4540,3682,3412,2155,1037,161,4
부산광역시 금정구 선두구동(2641063500),2145,2145,57,75,154,169,190,404,574,327,169,24,2
부산광역시 금정구 청룡노포동(2641066500),9511,9511,404,670,882,863,1057,1652,1956,1308,645,70,4
부산광역시 금정구 남산동(2641067000),26830,26830,825,1676,3869,2620,2976,4846,5291,3078,1472,171,6
부산광역시 금정구 구서제1동(2641068000),18892,18892,1086,1792,2153,2066,2831,3347,3107,1648,774,88,0
부산광역시 금정구 구서제2동(2641069000),31469,31469,1770,2942,3640,3096,4255,5644,5680,2933,1298,207,4
부산광역시 금정구 금성동(2641070000),944,944,41,109,60,51,134,142,215,131,50,11,0
부산광역시 강서구 (2644000000),142777,142777,17511,14853,11437,23555,28661,17234,17756,8083,3204,476,7
부산광역시 강서구 대저1동(2644051000),5959,5959,123,238,440,503,575,970,1583,1009,449,68,1
부산광역시 강서구 대저2동(2644052000),6709,6709,385,436,737,874,832,941,1364,725,360,54,1
부산광역시 강서구 강동동(2644053000),3967,3967,59,114,227,302,301,673,1261,688,289,52,1
부산광역시 강서구 명지1동(2644053500),54389,54389,9060,5879,4071,11537,11903,5044,4460,1776,569,88,2
부산광역시 강서구 명지2동(2644054500),30153,30153,4028,4868,2355,3717,7230,3738,2755,1049,362,50,1
부산광역시 강서구 가락동(2644055000),2167,2167,23,56,112,157,172,377,609,406,225,30,0
부산광역시 강서구 녹산동(2644056000),35124,35124,3708,3123,3185,6056,7158,4692,4533,1867,705,97,0
부산광역시 강서구 가덕도동(2644058000),4309,4309,125,139,310,409,490,799,1191,563,245,37,1
부산광역시 연제구 (2647000000),203004,203004,12144,15911,22903,25422,30373,32837,33801,19903,8744,946,20
부산광역시 연제구 거제제1동(2647061000),28213,28213,1965,3370,3064,2500,4905,4936,3755,2465,1136,112,5
부산광역시 연제구 거제제2동(2647062000),12652,12652,859,1682,1315,1186,2264,2174,1701,987,442,41,1
부산광역시 연제구 거제제3동(2647063000),9508,9508,382,585,1018,972,1128,1544,1766,1289,728,95,1
부산광역시 연제구 거제제4동(2647064000),9741,9741,482,933,1014,933,1385,1741,1790,974,423,63,3
부산광역시 연제구 연산제1동(2647065000),16246,16246,1053,1316,1550,1984,2515,2569,2921,1633,635,68,2
부산광역시 연제구 연산제2동(2647066000),21396,21396,1799,1329,2453,3765,3195,3117,3002,1811,840,84,1
부산광역시 연제구 연산제3동(2647067000),10666,10666,796,544,932,1610,1557,1600,1938,1165,489,35,0
부산광역시 연제구 연산제4동(2647068000),15528,15528,472,869,2046,1817,2020,2429,3153,1847,788,85,2
부산광역시 연제구 연산제5동(2647069000),16692,16692,630,621,3207,3295,2276,2383,2300,1319,609,52,0
부산광역시 연제구 연산제6동(2647070000),15776,15776,858,917,1544,1954,2142,2402,2953,1962,944,99,1
부산광역시 연제구 연산제8동(2647072000),13462,13462,982,1086,1220,1574,2157,2190,2429,1317,455,52,0
부산광역시 연제구 연산제9동(2647073000),33124,33124,1866,2659,3540,3832,4829,5752,6093,3134,1255,160,4
부산광역시 수영구 (2650000000),174994,174994,9154,11516,22451,23658,24450,26701,29099,18634,8246,1060,25
부산광역시 수영구 남천제1동(2650066000),16084,16084,998,1336,1917,2082,2349,2672,2418,1467,733,110,2
부산광역시 수영구 남천제2동(2650067000),13390,13390,882,1275,1332,1379,2031,2397,2260,1227,513,91,3
부산광역시 수영구 수영동(2650073000),14113,14113,473,595,1626,1631,1675,2094,2827,2103,984,104,1
부산광역시 수영구 망미제1동(2650074000),26540,26540,1413,1914,2509,2920,3663,3995,5062,3348,1489,224,3
부산광역시 수영구 망미제2동(2650075000),10118,10118,513,713,984,1168,1414,1664,1891,1250,463,57,1
부산광역시 수영구 광안제1동(2650076000),25533,25533,957,1463,4865,4281,3327,3395,3694,2372,1046,131,2
부산광역시 수영구 광안제2동(2650077000),18512,18512,879,1254,2752,2738,2772,2668,2678,1810,857,94,10
부산광역시 수영구 광안제3동(2650078000),9488,9488,198,374,1903,1579,1104,1229,1518,1074,459,49,1
부산광역시 수영구 광안제4동(2650079000),13402,13402,833,872,1560,1912,2018,2083,2037,1333,685,68,1
부산광역시 수영구 민락동(2650080000),27814,27814,2008,1720,3003,3968,4097,4504,4714,2650,1017,132,1
부산광역시 사상구 (2653000000),203445,203445,9596,13868,25193,24053,26728,36346,40284,19370,7209,774,24
부산광역시 사상구 삼락동(2653058000),5269,5269,169,251,456,487,548,1075,1271,708,273,30,1
부산광역시 사상구 모라제1동(2653059100),26508,26508,1226,1812,2828,3048,3414,4716,5695,2690,982,94,3
부산광역시 사상구 모라제3동(2653059300),9431,9431,168,326,579,570,976,1704,2447,1735,832,90,4
부산광역시 사상구 덕포제1동(2653060000),11224,11224,789,737,1167,1635,1530,1925,2014,996,389,40,2
부산광역시 사상구 덕포제2동(2653061000),12166,12166,539,849,1372,1274,1545,2240,2657,1250,387,52,1
부산광역시 사상구 괘법동(2653062000),24462,24462,921,979,4806,4014,2843,3980,4395,1853,597,71,3
부산광역시 사상구 감전동(2653064500),12251,12251,344,554,1268,1355,1446,2344,2862,1453,573,49,3
부산광역시 사상구 주례제1동(2653065000),16626,16626,1085,1148,1894,2271,2167,2992,3161,1373,476,57,2
